filename,jamming_detected,jamming_event_count,jam_state_0_unknown,jam_state_1_ok,jam_state_2_warn,jam_state_3_crit,agc_mean,agc_std,agc_min,agc_q1,agc_median,agc_q3,agc_max
dan_20241214.ubx,False,0,0,86396,0,0,8252.410725033566,1426.932874361923,125.0,7824.0,8591.0,9106.0,65431.0
dan_20241215.ubx,True,15,0,86382,15,0,8201.980682199614,1355.463940489403,143.0,7790.0,8580.0,9106.0,65427.0
dan_20241216.ubx,False,0,0,86398,0,0,8207.845864487605,1458.9175138010107,109.0,7793.0,8592.0,9106.0,65428.0
dan_20241217.ubx,False,0,0,86397,0,0,8217.035244279316,1513.1517089832535,94.0,7821.0,8593.0,9107.0,65432.0
dan_20241218.ubx,False,0,0,86397,0,0,8328.534590321424,1527.931640248229,111.0,7828.0,8596.0,9110.0,65429.0
dan_20241219.ubx,False,0,0,86398,0,0,8257.308687701105,1610.1581974395683,122.0,7827.0,8594.0,9108.0,65428.0
dan_20241220.ubx,True,71,0,86327,71,0,8187.6764045464015,1582.3249602296214,122.0,7822.0,8350.0,9105.0,65431.0
dan_20241221.ubx,True,122,0,86276,122,0,8304.443910738675,1763.499424729891,144.0,7827.0,8593.0,9107.0,65452.0
dan_20241222.ubx,True,37,0,86359,37,0,8410.340582897355,1118.9069627697368,148.0,8077.0,8595.0,9108.0,65434.0
dan_20241223.ubx,True,153,0,86245,153,0,8398.191092386398,1215.6049834469873,107.0,8062.0,8595.0,9108.0,65432.0
dan_20241224.ubx,True,1,0,86398,1,0,8368.043900971075,1360.8943764865178,137.0,7829.0,8595.0,9108.0,65437.0
dan_20241225.ubx,True,9687,0,76710,9687,0,8285.804148292185,1333.3244283778895,139.0,7827.0,8594.0,9107.0,65430.0
dan_20241226.ubx,True,22,0,86375,22,0,8134.412305982846,1497.4054373199808,121.0,7576.0,8343.0,8858.0,65432.0
dan_20241227.ubx,False,0,0,86397,0,0,8229.245679826845,1712.1805308862238,129.0,7824.0,8591.0,9105.0,65432.0
dan_20241228.ubx,True,152,0,86245,152,0,8247.075893838906,1617.401615272015,112.0,7825.0,8358.0,9104.0,65439.0
dan_20241229.ubx,True,252,0,86146,252,0,8267.232945207064,1640.525845401884,110.0,7825.0,8346.0,9104.0,65510.0
dan_20241230.ubx,True,398,0,85999,398,0,8337.107457434864,1505.1620824956713,138.0,7829.0,8594.0,9107.0,65498.0
dan_20241231.ubx,True,271,0,86125,258,13,8211.390851428307,1778.1998050803995,133.0,7823.0,8553.0,9104.0,65430.0
dan_20250101.ubx,True,586,0,85809,586,0,8261.144464378725,1795.914329849199,141.0,7826.0,8594.0,9107.0,65535.0
dan_20250102.ubx,False,0,0,86397,0,0,8476.632105281433,1231.4524698925466,130.0,8081.0,8598.0,9322.0,65432.0
dan_20250103.ubx,True,4,0,86393,4,0,8312.888213711125,1459.426325162824,115.0,7829.0,8595.0,9108.0,65430.0
dan_20250104.ubx,False,0,0,86396,0,0,8329.543948793926,1516.4376055015819,146.0,7830.0,8595.0,9108.0,65454.0
dan_20250105.ubx,False,0,0,86397,0,0,8405.032026574996,1324.7013926342183,144.0,8079.0,8595.0,9108.0,65428.0
dan_20250106.ubx,False,0,0,86396,0,0,8464.304713181165,1126.5181417333797,127.0,8081.0,8596.0,9108.0,65422.0
dan_20250107.ubx,False,0,0,86398,0,0,8412.99380772703,1056.1950443385035,139.0,8080.0,8595.0,9107.0,64917.0
dan_20250108.ubx,False,0,0,86396,0,0,8387.860861613965,1123.790984716422,113.0,7835.0,8595.0,9107.0,65427.0
dan_20250109.ubx,False,0,0,86395,0,0,8252.488315296025,1196.6136686005825,146.0,7828.0,8561.0,9103.0,65432.0
dan_20250110.ubx,False,0,0,86397,0,0,8171.445802516291,1366.5124285270742,146.0,7826.0,8343.0,8857.0,65432.0
